,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
CASH_ADVANCE_FREQUENCY,0.1340166881564246,0.30933166089965564,0.07830148808214173,0.06922689874712375,0.10226069756097564,0.05647711061837903,0.11588897029702984,0.2998974021304936,0.0810669787359716,0.22398022866520748,0.06809354973821992,0.044155125378405685,0.6072934621968609,0.22398022866520748,0.04391933106747234,0.06910716976127325,0.08106563947990539,0.13888866666666666,0.6075312182596283,0.06859974093959734,0.21942259022329488,0.18191397301854983,0.07977395500633709,0.6063917446153836,0.04200601826974744,0.0999998,0.6122312870662451,0.04450539579579587,0.04620901789611525,0.07102236095764272,0.07972343318556044,0.18153923102866787,0.13888866666666666,0.21852040560292316
CASH_ADVANCE_TRX,3.0793296089385476,7.32439446366782,1.5900256692335901,1.6082843262592688,2.85,1.1746735649174673,2.497249724972497,7.063914780292943,1.5304193738924985,4.295404814004376,1.630890052356021,0.8435923309788093,17.87018544935806,4.295404814004376,0.837865055387714,1.6923076923076923,1.5301418439716312,2.0,17.84450784593438,1.6483221476510068,4.314423657211829,2.8988195615514334,1.5335868187579214,18.423076923076923,0.8226759806555616,1.4,18.629337539432175,0.8948948948948949,0.9170667830641641,1.8139963167587476,1.532615579480684,2.8870151770657673,2.0,4.284409257003654
PURCHASES_TRX,14.151385474860337,0.8871107266435986,5.905944261092776,27.741853745845045,65.553536585366,14.76619857107662,6.176567656765677,0.7705281846426987,6.2315416420555225,0.016411378555798686,66.84280104712059,14.694752774974774,9.639087018544936,0.016411378555798686,14.74546827794562,67.3964190981434,6.2304964539007095,0.0,9.553495007132668,67.65758389261762,0.018105009052504527,5.671163575042159,6.314955640050697,9.830769230769231,15.176249328318109,3.2,9.634069400630915,7.946546546546546,23.131820165866433,75.53204419889524,6.320455984800507,5.6053962900505905,0.0,0.0018270401948842874
PRC_FULL_PAYMENT,0.15371464849162012,0.043837390138408344,0.1233562090209021,0.2398367875223737,0.27958274268292693,0.2144496489283083,0.09763082508250825,0.04373914336440306,0.10173116656822209,0.04397168052516415,0.29240477094240847,0.2189536021695266,0.04537187303851637,0.04397168052516415,0.21999520845921539,0.2876200251989391,0.10179129137115839,0.21428566666666668,0.04537187303851637,0.28874563624161076,0.04077580808690414,0.17450212478920743,0.10430089860583017,0.044621130769230744,0.21368939306824364,0.1285714,0.044253574132492084,0.176646903903904,0.24558644129201235,0.28514364456721925,0.10423484357188094,0.1749237099494098,0.21428566666666668,0.04088993422655309
TENURE,11.51731843575419,11.299307958477508,11.562522918958562,11.614676553311174,11.897560975609757,11.572554816457256,11.473047304730473,11.315135375055482,11.499113998818665,11.334792122538293,11.920157068062828,11.581231079717456,11.236804564907276,11.334792122538293,11.580563947633435,11.927055702917771,11.498817966903074,12.0,11.236804564907276,11.942281879194631,11.777911888955945,7.077571669477234,11.826996197718632,11.567692307692308,11.882858678130038,12.0,11.556782334384858,11.914114114114113,11.864687909209952,11.948434622467772,11.827105763141228,7.079258010118044,12.0,11.776492082825822
Purchase_Type_both,0.3099441340782123,0.0523356401384083,0.13237990465713237,0.5860393761186398,0.9073170731707317,0.47253017984725304,0.0,0.04971149578339991,0.0,0.0,0.9057591623036649,0.4667003027245207,0.3309557774607703,0.0,0.46727089627391744,0.9098143236074271,0.0,0.0,0.3309557774607703,0.9087248322147651,0.0006035003017501509,0.16526138279932545,0.0,0.3292307692307692,0.4790435249865664,0.2,0.31545741324921134,0.46006006006006006,0.5298996071584461,0.9152854511970534,0.0,0.163575042158516,0.0,0.0
Purchase_Type_cash,0.22815642458100557,0.8832179930795848,0.0,0.0,0.003658536585365854,0.0,0.0,0.9050155348424324,0.0,0.9917943107221007,0.003926701570680628,0.0,0.3223965763195435,0.9917943107221007,0.0,0.0,0.0,1.0,0.3223965763195435,0.0,0.9915509957754979,0.30354131534569984,0.0,0.33076923076923076,0.0,0.8,0.3422712933753943,0.0,0.0,0.0,0.0,0.30354131534569984,1.0,1.0
Purchase_Type_installment,0.25251396648044694,0.032439446366782004,0.21305463879721306,0.41012528765021733,0.0524390243902439,0.527469820152747,0.0,0.033732800710164226,0.0,0.008205689277899343,0.0549738219895288,0.5332996972754793,0.12696148359486448,0.008205689277899343,0.5327291037260826,0.05305039787798409,0.0,0.0,0.12696148359486448,0.053691275167785234,0.007845503922751962,0.31703204047217537,0.0,0.12307692307692308,0.5209564750134337,0.0,0.11987381703470032,0.5399399399399399,0.4701003928415539,0.034990791896869246,0.0,0.31871838111298484,0.0,0.0
Purchase_Type_oneoff,0.2093854748603352,0.03200692041522491,0.6545654565456546,0.0038353362311429303,0.036585365853658534,0.0,1.0,0.01154016866400355,1.0,0.0,0.03534031413612566,0.0,0.21968616262482168,0.0,0.0,0.03713527851458886,1.0,0.0,0.21968616262482168,0.03758389261744966,0.0,0.21416526138279932,1.0,0.2169230769230769,0.0,0.0,0.222397476340694,0.0,0.0,0.049723756906077346,1.0,0.21416526138279932,0.0,0.0
Limit_Ratio,38.52431487699011,56.643505311654586,33.37472128041525,31.403725118083422,34.80192201437446,29.596516343723277,37.54323559810183,56.75507320938879,35.74922194793138,56.08757358106326,33.26231416186184,28.86749430683604,59.76882372763192,56.08757358106326,28.77895912617184,33.88949398329558,35.75176992176845,0.8817118444444446,59.7820109659819,33.79116561334562,57.338415086515724,34.981048937064365,35.702400865923956,60.09376952462451,29.140720068080864,0.7170196505401845,60.30365180424393,29.05184224053856,29.654710146981582,35.47221452405713,35.711264931210806,34.819158869359185,0.8817118444444446,57.21677129715656
pay_ratio,551.7873966032006,527.40854713543,465.0964158105436,626.64554147435,1464.9773037416837,445.0918242059367,503.5351483433038,450.5819779806665,517.5125297006629,460.3774047741268,1525.0919740812171,450.1356184605543,386.9767918867778,460.3774047741268,457.7163515510833,1255.356130922698,517.8009623608147,61662.42957266088,386.92284673672503,1224.3611441805028,428.1274938470057,457.14318413924144,523.9353435445287,392.3798066511911,462.72244956616913,48357.03559265819,389.52048405350655,407.71416019728844,551.6701331583698,1348.90740156262,523.6774474081636,457.95906280939874,61662.42957266088,446.3583675057654
cluster_3,1.178659217877095,0.0,1.0,2.0,1.9707317073170731,1.760778516876078,0.9741474147414741,0.006657789613848202,1.0,0.002735229759299781,1.9764397905759161,1.7600908173562058,0.5192582025677603,0.002735229759299781,1.7605740181268883,1.9827586206896552,1.0,0.0,0.5192582025677603,1.98255033557047,0.003621001810500905,1.0320404721753795,1.0,0.5107692307692308,1.7576571735626008,0.4,0.5078864353312302,1.4294294294294294,2.0,1.977900552486188,1.0,1.0320404721753795,0.0,0.0
cluster_4,1.6149720670391061,2.9558823529411766,1.6523652365236523,0.7962158015852723,0.0,1.0,2.0,3.0,1.997637330183107,3.0,0.0,1.003531786074672,2.2967189728958632,3.0,1.001007049345418,0.001326259946949602,1.9988179669030732,0.0,2.298145506419401,0.0,3.0,1.863406408094435,1.9987325728770595,2.309230769230769,0.999462654486835,0.6,2.3186119873817033,1.0384384384384384,0.9030990833697076,0.0,1.9974667511082964,1.8650927487352444,0.0,3.0
cluster_5,2.0169832402234635,1.6284602076124568,1.1595159515951594,2.8445410380976734,2.1195121951219513,3.0273466371027347,0.2794279427942794,1.561473590767865,0.0,1.0,2.0,3.0,4.0,1.0,2.9972306143001006,2.0026525198938994,0.0,2.0,3.9985734664764623,1.9973154362416108,1.0024140012070006,1.9224283305227656,0.005069708491761723,3.986153846153846,2.9970445996775927,1.8,3.9763406940063093,2.9951951951951954,2.9065910082933217,2.0,0.006333122229259025,1.924114671163575,2.0,1.0
cluster_6,1.5724022346368716,1.042387543252595,2.364136413641364,1.333674252109435,2.1609756097560977,1.1106183789110617,3.1397139713971396,0.9254327563249002,2.9994093325457767,0.0,1.993455497382199,1.001513622603431,4.995720399429387,0.0,1.0,2.0,3.0,4.0,5.0,2.0,0.0012070006035003018,1.4468802698145025,3.002534854245881,4.972307692307692,1.0045674368619022,2.8,4.955835962145111,1.0336336336336336,1.096027935399389,2.005524861878453,3.0018999366687775,1.4468802698145025,4.0,0.0
cluster_7,3.219776536312849,1.689446366782007,3.5966263292995966,3.8616722065967783,0.38414634146341464,4.779502340477951,2.992849284928493,1.6249445184198845,2.9297105729474304,1.100109409190372,0.1243455497382199,4.804994954591322,3.8573466476462195,1.100109409190372,4.804632426988922,0.05172413793103448,2.9314420803782504,6.0,3.8587731811697576,0.0,1.0,2.0,3.0,4.0,5.0,6.0,3.993690851735016,4.956756756756757,4.55303360977739,0.01841620626151013,2.9981000633312225,2.0101180438448565,6.0,1.0030450669914739
cluster_8,3.203240223463687,5.427768166089965,2.9695636230289697,2.051137816415239,2.5841463414634145,1.7506775067750677,3.819031903190319,5.548601864181092,4.067926757235676,6.756564551422319,2.7342931937172774,1.7807769929364279,0.4037089871611983,6.756564551422319,1.7814702920443102,2.726790450928382,4.06855791962175,6.0,0.4051355206847361,2.7288590604026846,6.940856970428485,4.989881956155143,4.0,0.038461538461538464,1.561257388500806,5.6,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
