,0,1,2,3,4,5,6
BALANCE_FREQUENCY,0.1598286605902062,0.46986397965851384,-0.26102072203774634,-0.4881637723384536,-0.030237032642505136,0.07233605782199014,0.05460205182891545
PURCHASES,0.8035252740296789,0.36443771809647185,0.16555583524445824,0.11195500296998377,0.06694436841679907,0.0509529823842348,0.33518567581646336
ONEOFF_PURCHASES,0.6445413348377896,0.40796630590499405,0.4120085340515324,0.08399657409660814,0.015036806739506622,0.014919819029971908,0.2652256203429282
INSTALLMENTS_PURCHASES,0.7210347325495473,0.13408883758451043,-0.30175529213784574,0.10521688583348313,0.11770583033611481,0.07270590002545564,0.26099588857115236
CASH_ADVANCE,-0.36513040598351915,0.609926756156964,-0.23880342861029838,0.3603898167475245,-0.22371891399786492,0.106403073782853,-0.059280537592358684
PURCHASES_FREQUENCY,0.8477601403506754,-0.07015747767195048,-0.2798640474287082,-0.0695319841942674,-0.26621059781959816,-0.04658311806919176,-0.1400799628858427
ONEOFF_PURCHASES_FREQUENCY,0.635094966738395,0.37769883091554574,0.4615250901333654,-0.04975449312705636,-0.13231533519041228,-0.08123918641279337,-0.15247007320398565
PURCHASES_INSTALLMENTS_FREQUENCY,0.7396927727696927,-0.1425144781065907,-0.576502718308246,-0.01586473532451519,-0.07397556844294755,-0.025598254552247218,-0.07218614588464017
CASH_ADVANCE_FREQUENCY,-0.45044960845618637,0.7050652620474599,-0.2638784241459216,0.2432034764556033,-0.2207003228023159,0.015452319465636815,-0.06234587607689145
CASH_ADVANCE_TRX,-0.37628324918888434,0.6964837725196843,-0.28006675179387003,0.2880355746324129,-0.2798750120070517,0.10343039125815093,-0.125256485514946
PURCHASES_TRX,0.8315020855257239,0.30711499342920945,-0.05068481425418355,0.0199231783214784,0.038956808380907974,0.019139805162779997,0.14446625324991247
PRC_FULL_PAYMENT,0.37533382182890684,-0.310850611906596,0.024959516877184902,0.47666896613756543,-0.058963188055573205,0.05641389352454123,-0.07154735811077827
TENURE,0.15786496657593696,0.03344129417934088,0.025701824839008316,-0.2668552360553108,0.253257482622506,0.8453450907306409,-0.2859240477599165
Purchase_Type_both,0.6582211370124169,0.33961606856908055,-0.023245012750992375,-0.04701932908492334,0.2406810086517255,-0.24831258778922352,-0.5013823281593861
Purchase_Type_cash,-0.6321201132720713,0.2516402291891623,-0.0742248381380306,0.14815492359238014,0.5857911870614182,-0.07770864225171926,0.18497496284500373
Purchase_Type_installment,0.08180337228381808,-0.607728529788338,-0.5717369090336479,0.052474660110314306,-0.3045586770188232,0.18507718144504384,0.26524029927148224
Purchase_Type_oneoff,-0.18355287182944943,0.003364001543413274,0.713475493387066,-0.15539392993294981,-0.5525467349817352,0.16476897807861932,0.09589297227806466
Limit_Ratio,-0.2972539245597718,0.5244980355482741,-0.2148225761491167,-0.5133462742062538,0.05284597004034902,0.020716518944288196,0.27132785214991934
pay_ratio,0.1616244995642459,-0.014732691689893572,0.19069639175172654,0.5921442381454317,0.21858547020818736,0.27999593827790364,0.06373078798025501
